Category,Carbohydrate,Kilocalories
BUTTER,0.06,717
CHEESE,2.34,353
CREAM,4.3,130
MILK,4.74,63
YOGURT,4.66,61
EGG,0.77,143
VEGETABLE OIL,0,884
FISH OIL,0,902
CHICKEN,0.13,213
DUCK,0,404
GOOSE,0,371
TURKEY,0.08,157
POULTRY,0,272
GRAVY,2.5,16
CEREALS,79.6,371
APPLES,13.81,52
APRICOTS,11.12,48
AVOCADOS,8.53,160
BANANAS,22.84,89
BLACKBERRIES,9.61,43
BLUEBERRIES,14.49,57
CHERRIES,12.18,50
GRAPEFRUIT,8.08,32
GRAPES,17.15,67
KIWI FRUIT,14.66,61
LEMONS,9.32,29
MANGOS,17,65
ORANGES,11.75,47
TANGERINES,13.34,53
PEACHES,9.54,39
PEARS,15.46,58
PERSIMMONS,18.59,70
PINEAPPLE,13.12,50
PLANTAINS,31.89,122
PLUMS,26.31,101
RAISINS,79.52,302
RASPBERRIES,26.16,103
STRAWBERRIES,7.68,32
WATERMELON,7.55,30
PORK,0.32,585
BROCCOLI,6.64,34
CABBAGE,5.8,25
CARROTS,9.58,41
CAULIFLOWER,5.3,25
CELERIAC,9.2,42
CORN,19.02,86
CUCUMBER,3.63,15
EGGPLANT,5.7,24
LETTUCE,2.23,13
MUSHROOMS,3.28,22
ONIONS,9.34,40
PEAS,17.08,98
POTATOES,18.07,79
PUMPKIN,8.09,34
RADISHES,63.37,271
SEAWEED,6.75,26
SOYBEANS,11.05,147
SPINACH,4.8,34
SQUASH,4.04,19
SWEET POTATO,23.4,100
TOMATOES,5.1,23
BEETS,16.28,65
BEEF,0,194
LAMB,0,128
